SNname,type,ExplosionDate,R,Reference,Method,
,don't worry about type Ia,,,,,
,II -- Jack - top   Adrian -- bottom,"MJD if given, otherwise date",,link to ads reference,,
,Ib -- Thomas,,,,,
,Ic -- Macie,,,,,
,,,,,,
SN2018gep,Ic,58370,Pritchard_etal_2020,https://ui.adsabs.harvard.edu/abs/2020arXiv200804321P/abstract,using rise time of 6 days.,
SN2018cow,,58283.5,,,,
SN2018zz,Ia,,,,,
ASASSN-18da,Ia,,,,,
ASASSN-18bt,Ia,,,,,
SN2018gn,II,x,,,,
ASASSN-18an,Ia,,,,,
SN2018zd,IIn,58178.39,Zhang_etal_2020,https://ui.adsabs.harvard.edu/abs/2020MNRAS.498...84Z/abstract,,
SN2018yu,Ia,,,,,
SN2018xx,Ia,,,,,
SN2018pv,Ia,,,,,
SN2018pc,Ia,,,,,
SN2018oh,Ia,,,,,
SN2018kp,Ia,,,,,
SN2018is,II,x,,,,
SN2018gv,Ia,,,,,
SN2018gk,II,x,,,,
SN2018gj,IIb,,,,,
SN2018bi,Ia,,,,,
SN2018afm,II?,? - possibly 217.66,,,Not sure what the JD' for the tr is on page 8,
SN2017lf,Ia,,,,,
SN2017jmk,II,x,,,,
SN2017jl,Ia,,,,,
SN2017jd,Ia,,,,,
SN2017jmk,II,x same one as line 29,,,,
ASASSN-17ri,Ia,,,,,
SN2017jbj,II (update in other spreadsheet and remove duplicate),58104.1(5),deJaeger_etal_2019,https://ui.adsabs.harvard.edu/abs/2019MNRAS.490.2799D/abstract,SNID,
SN2017jav,Ia,,,,,
SN2017izu,Ia,,,,,
SN2018gj,IIb,,,,,
SN2017iyb,Ia,,,,,
SN2018bi,Ia,,,,,
ASASSN-17qz,Ia,,,,,
ASASSN-17qg,Ia,,,,,
SN2017iji,Ia,,,,,
SN2017ivu,IIP,,,,,
SN2017igf,Ia,,,,,
SN2017hpa,Ia,,,,,
SN2017hoq,Ia,,,,,
SN2017hjy,Ia,,,,,
SN2017hgz,Ia,,,,,
SN2017hjw,Ia,,,,,
SN2017hle,Ia-91bg,,,,,
SN2017hbj,II,x,,http://www.astronomerstelegram.org/?read=10836,,
ASASSN-17mz,Ia,,,,,
SN2017hou,Ia,,,,,
SN2017hcc,IIn,,,,,
,,,,,,
SN2017gxq,Ia,,,,,
SN2017gup,Ia,,,,,
,,,,,,
ASASSN-17mh,Ia,,,,,
SN2016ezh,II,x,,https://arxiv.org/pdf/1703.07816.pdf,,
SN2017guh,Ia,,,,,
SN2017gry,II,x,,,,
SN2017gpn,IIb,,,,,
SN2017gmr,IIP (update),"57,999.09 ±0.01",Andrews_etal_2019,https://ui.adsabs.harvard.edu/abs/2019ApJ...885...43A/abstract,fitting model to photometry,
SN2017glq,Ia,,,,,
SN2017glx,Ia-91T,,,,,
SN2017gjn,Ia,,,,,
SN2017gkk,IIb,,,,,
SN2017ghs,Ia (update),,,,,
SN2017gci,SLSN-I,x,,,,
SN2017gbb,Iax,,,,,
SN2017gax,Ib/c,x,,,,
SN2017gas,IIn,,,,,
SN2017gah,Ia,,,,,
SN2017fzw,Ia-91bg,,,,,
SN2017fvl,Ia,,,,,
SN2017fhm,?,x,,,,
SN2017ffv,Ia,,,,,
SN2017fgc,Ia,,,,,
ASASSN-17ip,SN2017fbj unknown,x,,,,
SN2017faf,SLSN-II,,,,,
SN2017faa,II,x,,,,
SN2017ezd,Ia,,,,,
SN2017exo,Ia,,,,,
SN2017erv,Ia,,,,,
SN2017eqx,?,,,,,
SN2017err,?,,,,,
ASASSN-17gx,?,,,,,
SN2017ens,?,,,,,
SN2017evn,Ia,,,,,
SN2017erp,Ia,,,,,
ASASSN-17ho,SN2017erv,,,,,
SN2017eoc,?,,,,,
SN2017enx,?,,,,,
SN2017emq,Ia,,,,,
iPTF14hls,II-wierdo,,,,,
SN2017ekr,Ia,,,,,
ASASSN-17hb,Ia,,,,,
SN2017egm,SLSN-I,,,,,
SN2017egb,Ia,,,,,
SN2017ein,Ic,57897,Xiang_etal_2019,https://ui.adsabs.harvard.edu/abs/2019ApJ...871..176X/abstract,,
SN2017ejb,Ia-91bg-like,,,,,
SN2017ebm,Ia-91bg,,,,,
SN2017eaw,II,"2,457,886.50",,,,
SN2017dzs,Ia-91bg-like,,,,,
SN2017dwq,IIn,,,,,
SN2017dwh,SLSN-I update,,,,,
SN2017drh,Ia,,,,,
SN2017kdz,Ia,,,,,
,,,,,,
SN2017dps,Ia,,,,,
,,,,,,
SN2017dit,Ia,,,,,
,,,,,,
SN2017dei,Ia,,,,,
ASASSN-17fk,Ia,,,,,
#SN2017dgm  nothing at this position,Ia,,,,,
SN2017dcc,Ic-BL,x,,,,
SN2017des,?,,,,,
SN2017dau,LBV,,,,,
SN2017daf,Ia,,,,,
SN2017cze,Ia,,,,,
SN2017cyy,Ia,,,,,
ASASSN-17em,is 2017cts    Ia,,,,,
SN2017ckq,Ia,,,,,
ASASSN-17ea,Ia,,,,,
SN2017cjb,II,x,,https://ui.adsabs.harvard.edu/abs/2017ApJ...851L..48Y/abstract,,
SN2017cfd,Ia,,,,,
SN2017cbr,Ia,,,,,
SN2017azw,Ia,,,,,
SN2017cbv,Ia-99aa,,,,,
SN2017cak,?,,,,,
SN2017bzc,Ia,,,,,
SN2017bkc,Ia,,,,,
SN2017bgu,Ib,,,,,
#AT2017bgt,AGN,,,,,
SN2017bcc,SLSN-II,,,,,
SN2017aut,Ia,,,,,
